review,classification
"Like one of the previous reviewers, when my jacket arrived, it was not in the great dark wash pictured online. it was in a basic, medium denim wash. i like the wash pictured online; i did not like the wash the jacket came in. additionally, know that it is just huge. i ordered my usual size (medium) and understood that the jacket was meant to be roomy and swingy, but there is no way that one size down would be enough to compensate for how swimmingly large it was. i never tried an xs, but it was s",bad
,bad
The shirt is very big. it would be cute as a maternity shirt.,bad
I bought this skirt in my usual xxs petite and the waist was way too small. i could not even pull the skirt all the way up. returned,bad
"I recommend this dress because it is beautiful, stylish and well made even though it did not work for me. i tried the small and extra small. the first - way too big, lengthwise (hit my knees) as well as in the shoulders - the latter to tight across the chest - not for me but worth a try. i am typically a small with usually never have a problem with length.",bad
I purchased this dress for my graduation. the colors are much more intense and bright then they appear online. i'm kind of concerned that i look like a carnival tent. i like the style but the fabric feels cheap for the cost of the dress. the fabric is 100% synthetic.the fit is great. the dress is true to size,bad
"I loved the photo of this dress. upon examination of the dress (and trying it on) after receiving in the mail, the dress shown online is nothing like the dress i received save for the pattern. the dress i received has a side zip as well as a belt and no pleats on the top. the bottom is also cut straight across not as it appears in the photo. turns out it is not as flattering as it should appear.",bad
"I really wanted to love this waistcoat. i purchased this online and tried it on as soon as i received it.
it runs large, but i should have realized the horizontal stripes sitting on the hips is not a good thing. the fur adds additional bulk where it is not needed, the hip area !!!!. i purchased a small and could have purchase a xs, but i think the problem would still be there in a smaller size. it's going back, but i am disappointed as i really wanted a something a little alternative !!!!!",bad
"This top looks so pretty on the model. however, the photo is deceiving as the bottom section is quite wide and loose. i am petite but between a c+ to d cup. the top is not really fitted, so my bust pushed the top out and made it look like a maternity piece. from the side it hung way in front of my body. i am wondering if this is clipped in the back on the model. if you are smaller chested and taller, this top might look nice on you. i am 5'1"", 105 lbs and c-d cup. i really loved the fabric and c",bad
"Normally, hd in paris brand is spot on for their dresses. this dress is a big thumbs down. as most of these reviewer's and myself point out, the large arm holes do not allow you to wear a regular bra because you don't just get a peak of your bra, you get to see the whole side of it. secondly, the bust of the dress would work only for an a-cup bra, too small for the average woman. the only bright spot with this dress is the brilliant colors available and the quality of the fabric itself - excelle",bad
"Like other reviewers have said, this is very sheer, look at the sleeve in the picture and you'll get an idea of how sheer the body is as well. the material posed challenges for it's creater because one top i tried on in the store had a sleeve that was smaller than the other, tight enough that it would have ripped if i weren't careful. tried on another identical top and the sleeves were a normal somewhat loose fit. bodice portion is much more intense pink in real life. loose, billowy, and perhaps",bad
"Don't be fooled by the image; unless you have a c/d chest, this romper has masses of draped fabric right around your middle--exactly where you want it least! very unflattering and rather expensive for the poor quality. back it goes!",bad
"This sweater is very long, could be worn as a dress at 5'3 !",bad
I can't stand buying pants and i can see the pockets lining and my darker skin through the fabric. i don't consider that high-quality.,bad
"I really wanted to love these because i love my other steps, but they did not feel or fit the same way at all. i was also disappointed to see that they are cream and not white. these jeans feel stiffer than other stets i own and the waist was huge on me. sadly, these will be going back.",bad
"I am so sad i have to return these leggings. they're adorable--so much so that my fiancã© commented favorably on them--but as other reviewers have pointed out, there's no elastic or string in the waistband so you have to walk around holding them up with one hand or they'll fall down! why, sleeping on snow? whyyyyyyyyyyy? they're so great otherwise!",bad
I ordered an xxs online and it's still massive. the only thing i can use it for is a beach coverup. the embroidery is pretty but i will be returning.,bad
"I ordered this top online during the mother's day sale, thinking i had found the perfect white staple tank i wanted for summer. i had this top on for barely five seconds before i knew it was going straight back. the quality of the fabric and the overall design are both very good. but the problem is that the top comes with an under-layer up top. this is normally a good thing; extra coverage in a sumer top generally means you ca go braless. the problem is that the top layer of the shirt is so shee",bad
"This top is a joke unless you are really into expensive clown wear. i thought this looked whimsical, fun and a well-designed piece when i saw it on line--especially at this high price. i started to laugh before i even pulled the entire top of out the bag when i got it in the mail today. it is not expensive looking at all, and the pom poms look like a sad craft project rather than a special detail. it is a bit juvenile too. even if you wore it and were going for ""ironic"", it would be difficult to",bad
"I saw this dress and loved everything about it! i was so sad when i tried it on and it was just too big. they were out of the smaller size, so i had to return it. the dress is well made and the color is just a bit neon compared to the picture.",bad
"Although i love the soft feel of the sweater, the zig zag design was very unflattering. also, the length is much shorter than appears in the picture. i will be returning it.",bad
"The small, zipped and laid flat, measures 16"" across at the bottom of the armholes, 11"" at the waist and 18"" from shoulder seam to bottom edge. it's too small for a size 0, and not by just a little! too bad, because it really is very pretty.",bad
"I got this shirt in a medium, my normal retailer size and while the short fit, the front is cropped! i am a fan of the tops that are shorter in the front and longer in the back, however this was just too short in the front. my belly button was exposed, and that wasn't the look displayed on the model. unfortunately this top is going back to the store.",bad
"If you have any curves, avoid! it is not flattering.
the striped side panels look odd with the flow of the dress.",bad
"Huge bummer. this top is definitely a crop/midi-top. plus, it's cream, not white like shown in the photos. i'm returning it today.",bad
"I purchased this shirt in white and black. the white is more ivory-isn, and is a bit thin/see through. the shirts can be worn with jeans, or dressed up with a skirt. i just wish it was a little more form fitting. i do like the hint of stretch in the fabric! very comfortable as well!",bad
"I really like both colors in this top. i love the way it lays, the length, the material, etc. what i don't like is that the arm holes are very large and shows the entire side of your bra. this is definitely a summer top so why would someone want to have to wear a cami when it's warm enough to go sleeveless? too bad, i would have bought it for sure.",bad
"I am so happy i splurged and bought these jeans. based on the other reviewer, i ordered one size up, and they fit perfectly. i'm 5'8 and appreciate the longer inseam. i can't wear a wedge heel or anything with them, but with a flat on they skim the floor perfectly. you'll love the raw hemline and the subtle ""wear"" throughout the fabric. it's not overdone. just like in the picture, they really seem to narrow the hip, think page boy style. very, very flattering!",good
"This is a beautiful dress! i love the patterns, the beading and the texture. however, i have returned it (size medium - my usual size) and asked for an exchange up to a large (fingers crossed it will be available!) because the shoulders are very narrow. i am fairly tall (5'8"") with an athletic build. the body fit was a bit tighter than i expected also but not really an issue. however, the shoulders were obviously tight making it look too small and uncomfortable. yikes! i sooooo love this dress a",good
"Loved these culottes! flattering fit and nice drape. the fabric, though poly, is of a nice weight and swishes nicely as you walk. the length (just below knee length) works for me too. the color is lovely for the fall - rich copper and easy to pair . i'd say these are tts but if in doubt, size down. i""m between a size 8-10 and the 8 works best for me.",good
"This dress is really pretty and fun. i can see where i can dress it up or tone it down. subtle pretty beading at the neck. just ran a bit big on me, i sent back for the next size down -can't wait to get it!",good
"I initially worried about these because i am curvy on the bottom and short (5'3), but they balance me out perfectly. they are light and airy and perfect for summer. i have paired them with form fitting tops which work best considering the bottom volume., and my latigo clogs which give me some height. these are my new favorite go-to pants!",good
"Love the length, cut, & placement of pockets. the stretch has positive & negative consequences, though. minuses: easily wrinkled, grow 2 sizes within the day. pluses: comfy, bendy, they're designed to be more of an active short, so the wrinkles & give are quite fine (they only stretch in unnoticeable areas). if we're to repurchase, i'd size down--but i love the bright color  & comfort so much i'm keeping these as is. (i'm a 6-8, should have purchased the 27's.)",good
"The embroidery is breathtaking. it is more flattering and interesting in person. i would highly recommend it!. it is true to size, figure flattering, and unique. the only reason i gave it four stars for quality is because the neck is a little itchy. if you are looking for a show stopper and conversation piece, this is it!",good
"For a brand called ""tiny""--this dress was really big. i ordered my usual m and it was like a sack--virtually no shape to it at all. i haven't been a small in many decades, so i'm really hesitant to order it again. i'm afraid i'll be like goldilocks--""too big!"", ""too small!""--but i'm probably going to give it a whirl because the green print is so pretty, and i l like that it has sleeves to protect from sun. and pockets! lots of good qualities, just putting them together in a wearable size seems t",good
"I typically wear either a 2 or 4 and had to size up with this coat. the 6 fit, but i decided to go with an 8 to ensure it'd fit with layers. the sleeves aren't lined, so it's a little itchy against bare arms. it's really flattering and i love the pattern!",good
"Ordered the xsp (5'4"" about 118-120#, athletic build)...this was huge all over. big in the armholes, too much fabric hanging in the skirt (cream fabric) front and back, not flattering at all from the sides and as long on me as it shows on the model. i love the idea of this and for the right body type (of course) this will be beautiful. it also would not be a very versatile piece for me...the top sweater part is quite thick (lovely) and heavy. in oklahoma this would not work for very many weeks..",good
"I saw this top in my local store and almost didn't try it on solely because i hate split-sleeve/cold-shoulder tops. but, the peplum style and pattern were so cute that i took it into the dressing room anyway. after trying on probably 6-8 items, i wound up buying this top and one other. i really like the fit, as i am high-waisted, and it defines my waist really well . the wide neck is also super flattering. and i love the pattern. i went ahead and purchased, despite the fact that i wasn't thrille",good
This is a great dress!  very different and light but cute details,good
Blue jeans that fit like a dream & they were on sale.,good
This is a great shirt. the ruffles are strategically placed and hide any stomach flaws. i get that others are surprised by the arm slits but a couple of well placed stitches will make it very work appropriate or if you're worried about arm waggle. the color borders on black/navy,good
"Best jeans ever! it's so hard to find a good petite jean. you shop and shiop and then pay $30 more to get them altered. the fit and length on these are perfect. love, love, love!!!",good
"Taking the sweater out of the package i was kind of skeptical because of the shape, but to my surprise it looks like as it does on the model. it does take a minute to figure out how to wear it. i ordered the medium (normally wear a size 8) and is a little long, but goes with my personal style. i love the idea of being able to wear it out without looking frumpy or comfy at home.",good
"Nicer twist on the casual tshirt. soft, comfy. love the purple.",good
Love the tee but it is very thin. best for layering,good
"I really love these leggings. the different textures that all the colors have make them interesting. quality is great. i am 5 1"" and 125lbs. the s/m fit pretty well but i wish there was a xs option. but still would not hesitate to buy again!! i actually went to retailer tonight to purchase all the other colors,...that's how happy i am with this purchase!",good
"I followed the other reviewers who said these fit true to size. i have to disagree. i normally wear an 8 in shorts, which is what i ordered, and the fit is too tight in the waist and butt. i'm exchanging for 10. i really like the color and fun accents. i really hope i can get these in 10!",good
"I really like the style of this top, the open sleeves are subtle. i think it is even work appropriate in a business casual environment. it is slightly short waisted in my opinion and runs a little small, but my usual medium worked for me. i am a solid 8.",good
"I had it on my wish list for a long time, not sure whether i should purchase, i even hesitated when it went on sale, but boy, am i glad i did order it... it is crazy comfortable, flattering, and love that it looks black but is blue... i ordered both xs and xs p and decided to go with the petite as it will look super cute in the fall with boots. not too short (i am 5 foot 1.5)... the fake leather part concerned me at first, but i like it now... nothing bad ot say about it!",good
This sweater is absolutely beautiful. the shape is very flattering both tied in front and in back. the wool is nice and soft and the color is a nice neutral that will pair well with anything. the stitching is a nice added detail that makes this sweater somethig special. it is a great addition to any wardrobe and i'm thrilled that it is part of mine. i can't wait to wear it!,good
I was so impressed with the style & boning on the sides for the perfect fit! it's truly a classic staple in your closet for that lbd!!,good
"Beautiful, comfortable and attractive sweater! my neckline doesn't stay flat as the one in the photo does, but i love the sweater anyway. great quality, attractive, and comfortable.",good
"Well-made, gorgeous bra! the 'red' is more wine in person, which is great. this bra runs quite small--go up at least 1 band and 1 cup size. i got a 36c and it fits great! (i'm a 34b across brands like vs, etc.) 
you'll feel extra saucy and a bit mischievous knowing you're wearing something this sexy.",good
"This tank is perfect for summer since it pairs so nicely with shorts! jeans work well, too, and during cooler seasons, i can wear a cardigan over it to stay warm.

the fit of this top is not true to size, for it runs large, but is flattering on the body nonetheless. the stripes and miniature circular openings, i noticed, add beautiful detail for formal or informal events.

as a whole, this shirt is perfect! the one aspect of this top that may need to be carefully attended to is the material",good
Im size 16 top and the xl is a little big but it is a longer tshirt whihc i love thank you sooo much please return the size large back...,good
"It's a phenomenal wardrobe peice. quality, comfort, versatile. dress it up or down, belt it or not, boots or shoes. i'm 5'3"", 115ish lbs, small fit my 34d chest beautifully. a great buy - have fun with it!",good
Very comfortable. im 5'2 so i ordered the petite and its a perfect length. no need to roll up. slightly slim fit but not overly tight. typically order everything online and didn't need to return. ordered charcoal color which is simply a faded black/dark grey.,good
"I love love love this top. i love it so much i bought it in two different colors so i can wear it more often. i think it's feminine, chic, and classic. i've worn it several times and i each time i've had more than one person comment on it. i normally wear a small but they only had it in an extra small and i actually like how it fits which is why i think it runs a little large. the only place that it is a bit small is the cuffs at the end of the sleeves. i usually just unbutton those anyway so no",good
I love these pants and wear them all the time. i wish they hadn't been discontinued,good
"This must be the only structured t shirt at retailer at the time of this review. i love it. the neckline is perfection. the ruched sleeves are long enough to cover my upper arms. i found it a bit see through, and added a white cami.

sizing: i ordered an xs. normally i wear a small in retailer brands, and a med in most other brands. size small t's have been too large lately. i'm 5'5"" tall, 135 lbs, 35-29-36, 34d, long torso, narrow across the shoulders, and short arms. 

fit: loose fitting t's l",good
"This dress is perfect for the summer, very lightweight, has pockets and not to short lounging around. it is loose fitting, so i normally wear a size 10 or m and 5'6"" tall, but had to order this dress in a s. the small fits me perfectly.",good
"I love the colors and pattern on this dress, and it's nice that it has a lining so no slip needed.  the cut works perfectly for my big booty figure however, i'm pretty small up top, and the neckline comes pretty low, so i either have to wear my craziest push-up bra, or get the top altered. i haven't decided what my plan is yet, but will keep the dress for sure.",good
"I adore this dress! it's so charming. great quality, lovely fabric, beautiful color. the fit is supposed to be boxy and probably won't work on a beautiful curvy body. with a petite athletic body, i feel beautiful in it! i wear a small or xs and i definitely needed an extra small. pair it with black or camel, sandals or boots, it's lovely!",good
"I absolutely love this sweater! first of all, it's extremely comfortable. i have been wearing it around the house all day and have no desire to take it off. it's cute as a casual around the house top, but also adorable dressed up with jeans and boots. it drapes beautifully for an effortless chic look. the color is pretty close to the photo and very nice in person. the possibilities are endless for colors to accessorize and match with. this sweater is definitely cropped in length, which i normall",good
"Let me talk about the fit. i am a size 6 petite. i weigh 120 and am 5' tall. i am curvy and have short legs. what little height i have is in my torso. that being said, i ordered the 6p and the 6. no doubt about it! the 6p fits like a 4p. the 6p was tight in the hips and thighs. the size 6 regular was a perfect fit. if you want the pant to have s cropped look like in the picture then order up a size and stay in petite. so i would have ordered a 8p i'd i wanted the cropped look like in the pic. bu",good
"The lilac pic of this shirt doesn't do it justice......it is so darn cute on! the band around the waist really draws your eye in and makes your waist look really small.... love that!!! also, the pleated sleeves are just so feminine and pretty! the fabric is like a washed cotton.....very soft. i can see this being dressed up or made really casual.....i bought the green color and am going to wear it with a chunky turquoise necklace and pencil skirt!",good
"I was a little wary of this top but decided to try anyway. so glad i did. the style is great and the fabric is lightweight and comfy. i debated between the blue and the honey and ended up with the honey. it is just so different yet such a nice neutral. i am normally a size 10 (or maybe a large 8) in tops and purchased this in size 6. it definitely runs large. for reference i am 5'6"", 145 lbs, 34dd. not sure why another reviewer said this top isn't for large busts. it was very flattering on me an",good
This is perfection in the color sky. get you one now. you will not regret it. it is super soft and flattering!,good
"I received this dress today and can not be happier. i'm 5'6"", 120 lbs, 34c, and the 2 fits perfectly, hitting about 1.5"" above my knees. the print is so pretty and elegant. the colors aren't too vibrant, aren't too muted. the collar and french cuffs give the dress an extra flair. it comes with a little slip because the dress is sheer. i just tried it on with suede booties and it looks adorable! i'm ready for cooler temps to arrive so i can wear it!",good
"Bought the aqua because sizes were sold out. the bright color will be a welcome change this winter among all my neutrals. it's lovely, soft, well-fitting, and i only hope we have a few days in the south so i can wear it. well worth the price. would be a lovely wardrobe addition for any age, changed by what it's worn with...shoes, accessories,",good
These are fabulous leggings for cold days. i am a teacher who has to do crossing guard duty in the mornings and finally i have something stylish that also keeps me warm! love them and i highly recommend. only con is that they are about 1/2 of an inch shorter than i would like.,good
"I purchased the floral patterned version and get complimented every time i wear it. i found it to be pretty true to size, even after washing. it's a little sheer, so you'd definitely want to wear a camisole underneath for work. it's a great top for spring/summer!",good
"I love this top! the color is quite unique (a reddish color), but the cut really makes it stand out. i love the square neckline. i feel it accentuates my bust without showing too must breast. i notice a number of other reviewers had an issue with the tightness around the bust: this top looks like it would have ample stretch in the photograph; however, in person you can see that the embroidered area does not have any stretch. for me, this was not an issue, as the top suited my body type well rega",good
"I don't understand the negative review
on this sweater. it is nothing short of stunning. the quality and design are absolutely beautiful! and i love the lined pockets! i can honestly say i don't think i'll ever part with it - this is a sweater you hang onto forever. i will say it runs a bit large. i ordered the xs/sm and if i didn't know better i would think its m/l. either way if you can you get your hands on one in store or a return online, do it! it is worth every penny, especially for the s",good
"I love this shirt! it's gorgeous! got it last night, wore it today, and received compliments all day long.

i don't normally look good in tunic length tops, but somehow there's magic in this one. the seaming on the front totally hides my post-baby pooch. too bad the baby just turned 3 and my pooch isn't going anywhere ...!

adore.",good
"Beautiful color,, great quality, and great fit if you size up! i learned my lesson with previous purchases and sized up when i read it runs small. i usually wear a 0/2 and i took a risk and went for the 4. it fits perfectly. i have a 25 in waist.",good
"This sweater is really pretty (and soft!) in real life, but if you purchase the coral color, be ready for a little bit of a surprise when you open the package. while it looks more orange and subdued online, it's more like a hot pink coral in real life. definitely more pink than orange and far more vibrant than pictured. still pretty, but not necessarily my taste so still deciding if it will go back or not. the cut and fit of the sweater is wonderful, though. it's so soft and airy, but definitely",good
"I love the design of this top - short and swingy, with a cute mock turtleneck and interesting textured pattern. definitely runs large - if you're between sizes, definitely go for the smaller one. it also has pretty large armholes, so you can kind of see your bra from the side.",good
"I've worn this twice now. the first time was after trying it on and realizing it was perfect. immediately purchased and never took it off. the second time, wore it to my internship (office) followed by museum and a concert. incredibly versatile. constant compliments. 5'7"", 135 pounds, 34 c, 27/28 waist. meant to be loose, carefree, incredibly modern. does wrinkle after long periods of sitting, but not enough to dislike. the biggest complaint for me and my retailer coworkers is that it is an incred",good
"Cute casual skirt, i love that it is longer in the back than the front so i can comfortably wear it to work.  i had to size up, which i usually do in bottoms that do not have stretch because i'm my athletic frame.",good
"I'm 5'3"", 155 lbs; ordered the blue in a large. beautiful color and fabric. it's big and a bit wide and long, hitting below my knee. i might reorder in a smaller size because it has great potential. cute casual or dressy. i agree that it needs a slip but not so obviously sheer in the blue color.",good
"For a now feel, that comfy and well made, this was a great choice!",good
"I bought the dress in navy stripe in december and it became a favorite, so i jumped at the opportunity to buy the ""blue"" (pink/purple/blue/black stripes) when it went on sale. this dress is very flattering and feminine, i love the fitted top, fitted sleeves with a cute button detail, and the asymmetrical hemline. i use the navy for work, whereas the colorful stripey one is fun on the weekends. it washes well and holds shape (i hang it to dry). i like it best with boots, but it would work with fl",good
This blazer is gorgeous. the brocade fabric is beautiful. the color is really a blueish purple/indigo. you can wear it with a black skirt/pants and even jeans. the only downside is that it runs about one size smaller than what it says it is.,good
If you are looking for the perfect t-shirt to add a little flare to your basics this is the one for you. it is so comfy and baggy yet still looking like you pulled yourself together. i am just waiting for more colors to come out. i basically live in the green and white versions of this shirt.,good
Love how this fits. length is great so i didn't need to hem (you wouldn't be able to). flattering on muscular/athletic legs/bottom. i bought in navy and then had to buy it in another color it fit so well.,good
Comfortable with leggings or cropped skinnies. would be better as a solid as opposed to a plaid print. breathable and airy fabric.,good
,good
"This is a beautiful dress and i would recommend.
but it was short on me (tall), not the midi i was hoping for. and a little too low cut (too much cleavage), i'm a d cup.
since i paid full price, i have to be completely pleased with my purchase, for this reason i will return. 
maybe if i had bought it on sale price, then i would keep.",good
"This romper was so cute and with the great reviews i thought i needed to try it...but once trying it on i realized it was an odd fit, there is not enough fabric to make it look as relaxed as it does on the model. also, the sleeves were a bit wider than they look in the picture. would probably work well for someone with a petite figure.",good
"I love this top and cannot wait to wear it. the material is a nice weight, the color is pretty, and the fit is very flattering and comfortable. be aware that it does have an elastic waist and the design is very delicately sewn and could tear easily.",good
"The skirt is a little longer than i expected, it hits me at my calf, i considered having it shorten knee length but believe that may takeaway some of the aesthetic so i'm going to wear it as it. the quality is quite nice and the color is lovely, very feminine. nice skirt for a picnic",good
It is so beautiful and just as shown in the pictures! very elegant! i normally wear a small and it hung off me just a little.,good
"I'm not entirely sure if this shirt just runs large or if it fits oddly/boxy. the flowered material puffs out on the sides a couple of inches under my arms... i'm usually a pretty solid size medium, but i think i'm going to try to exchange this for a small to see if that solves that weird fit issue, because it is a nice idea of a design and comfortable overall. but, if that doesn't solve the trick, if not recommend, b/c that side puffiness isn't flattering.",good
"I really like this jacket! it runs big, so you may want to size down. the fabric was softer than i was expecting, but i really like it. very cute fall jacket!",good
"I wore this to a gala and i plan on wearing it over and over again. the dress is very comfortable and looks polished. i wore this dress for 12 hours and did not want to take it off. the embroidery is beautiful and appears to be well done. i am 5'5 and the dress hit me 2 inches above my knee. i highly recommend this dress, i received so many compliments.",good
"Several reviews have stated this dress is embroidered with a popsicles. it is not embroidered, but an attractive popsicle print. i usually wear a 2p and after reading review ordered an 8p. a bit roomy in waist, but with tie at waist it works. length great, but arm holes large. will have altered as this fit/flare shirtwaist dress is so flattering.",good
"Love this! when i first saw it online, i thought it was a bit pricey for a plain white shirt. but i finally gave in and ordered it! i'm so glad i did! i've worn it twice in one week so it won't be difficult to get my money's worth! it's very soft and fits perfectly. looks great with jeans or dress pants. i like to tuck the front in my pants and leave the back out.",good
I bought this dress on sale and it is perfect! i wish that i would've invested sooner and picked it up in a number of different colors. the cut is amazing and the cutout on the back is sexy without exposing too much skin.,good
,good
"I ordered this dress on a whim because i love the classic look, it has long sleeves, and the color is beautiful. i can't tell if there is sparkle in person, it looks like it on pictures, or holes... but regardless, love it. i tried on both xxs p and xs p and found the xs p was more comfortable for me, for those who find clothing at retailer is being made bigger, this is more a ""classic"" size, as in what i would have ordered in the past (this summer, i had to go down in size a lot). the fabric is c",good
"Eyelash sweaters are all so soft and cuddly but this is the only one i've found what doesn't make me look like a bear. the shoulder cut-outs really help create a   flattering silhouette. i'm 36-30-40 the medium fits well, slightly loose so the sleeve below the cut out hangs slightly. highly recommend.",good
"This dress is quite lovely, but there are a few things to know:

the blue color is much more of a dark teal, with more of a dull green tinge than i expected. still pretty, but definitely not a pure blue. i loved the look of the blue online, but i think the pink might have worked a little better with my coloring.
the dress is a bit low in front. not inappropriately low, but if you are hoping to be able to ""adjust"" by pulling the shoulders back a bit or something, be aware that the bodice drapi",good
This top has really beautiful lace detail. the color is much deeper pink than the picture online. i ordered the xs petite and it fits fine but i like my tops longer so i wish i had gotten the regular xs instead. it is very pretty!,good
"When i saw this shirt, i knew i had to have it! i got the white with yellow flowers, and the pattern is perfectly charming. i'm 5'2"" and petite with a short torso. the petite xs fit me perfectly! the material is pretty thin, so i hope it stays in good shape. until then, i can't wait to dress this up for work and dress it down for casual summer days.",good
"I actually found this blouse to be quite nice. i'm not sure that i'd wear it as a tunic, though. it looks great tucked in and the print is fun but nothing exhilarating. for the price, i expected more.",good
"I picked these off of the rack at retailer, mainly because i loved the navy, black and brown combo of the squares. i tried on the medium, because they looked on the small side, even though i usually wear a size 4, or small in pants. good thing too, these fit really well,so they do run small, albeit a bit long in the regular medium on my 5'3"" frame. i could have used a petite for length if they had been there, but they didn't. that's ok, i don't mind rolling them up, it makes a statement i like. ye",good
The quality of this jacket is outstanding. color combination is very chic and sophisticated. jacket is warm but not bulky.,good
"This is a deliciously soft and cozy cashmere sweater. the cashmere is thick and knitted with a ribbed brioche stitch. the sweater is true to size, though a bit boxy, so i did size down for a slightly more fitted and flattering look. the sweater is a little on the short side, but i'm petite, so i thought the regular xxs was perfect. the stitch details are lovely and it it so soft i want to wear it every day. it did start to pill after one wear, but this is the nature of cashmere. i'm very pleased",good
Tts and comfortable. this t shirt brings flair to everyday wear and i purchased on sale for a steal!,good
